DataID,Publication date,Titile,Author#1,Author#2,Author#3,Author#4,Author#5,Author#6,Author#7,Author#8,Author#9,Author#10,Author#11
Digital Data 2017-0009,April 07  2017,Subcrop Extents of Geological Units at the Sub-Cretaceous Unconformity  Peace River - Slave Lake Region  Alberta (GIS data  polygon features),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0008,April 07  2017,Sub-Cretaceous Unconformity Paleotopography  Peace River - Slave Lake Region  Alberta (gridded data  ASCII format),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0007,April 07  2017,Sub-Cretaceous Unconformity Elevation  Peace River - Slave Lake Region  Alberta (gridded data  ASCII format),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0006,April 07  2017,Sub-Cretaceous Unconformity Picks  Peace River - Slave Lake Region  Alberta (tabular data  tab-delimited),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0005,April 07  2017,Subcrop Extents of Geological Units at the Sub-Cretaceous Unconformity  West-Central Alberta (GIS data  polygon features),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0004,April 07  2017,Sub-Cretaceous Unconformity Paleotopography  West-Central Alberta (gridded data  ASCII format),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0003,April 07  2017,Sub-Cretaceous Unconformity Elevation  West-Central Alberta (gridded data  ASCII format),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0002,April 07  2017,Sub-Cretaceous Unconformity Picks  West-Central Alberta (tabular data  tab-delimited format),Peterson  J.T.,,,,,,,,,,
Digital Data 2017-0001,September 17  2018,Calgary-Lethbridge Corridor Geophysical Survey: Compilation of Airborne AeroTEM System Electromagnetic and Magnetic Survey Data (digital data  various formats),Fildes  B.J.  comp.,,,,,,,,,,
Digital Data 2016-0051,March 17  2017,Paleovalley Thalwegs of the Calgary-Lethbridge Corridor (GIS data  line features),Hartman  G.M.D.,,,,,,,,,,
Digital Data 2016-0050,March 29  2017,Total Dissolved Solids Concentration in the Horseshoe Canyon / St. Mary River Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor (gridded data  ASCII format),Nakevska  N.,,,,,,,,,,
Digital Data 2016-0049,March 29  2017,Total Dissolved Solids Concentration in the Scollard / Willow Creek Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor (gridded data  ASCII format),Nakevska  N.,,,,,,,,,,
Digital Data 2016-0048,March 29  2017,Total Dissolved Solids Concentration in the Paskapoo / Porcupine Hills Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor (gridded data  ASCII format),Nakevska  N.,,,,,,,,,,
Digital Data 2016-0047,April 24  2017,West-Central Alberta Regional Stratigraphic Model - Measured Section Descriptions (NTS 83F  83K) (tabular data  tab-delimited format),Hartman  G.M.D., Smith  D., Hughes  A.T., Atkinson  L.A.,,,,,,,
Digital Data 2016-0046,January 17  2017,Extent of the Precambrian Basement within Alberta (Exclusive of the Area of Cordilleran Deformation) (GIS data  polygon features),Branscombe  P.,,,,,,,,,,
Digital Data 2016-0045,January 17  2017,Precambrian Basement Top Surface in Alberta (Elevation) (Gridded data  ASCII format),Branscombe  P., MacCormack  K.E., Hauck  T.E.,,,,,,,,
Digital Data 2016-0044,December 15  2016,Relative Landslide Susceptibility Model of the Alberta Plains and Shield Regions (gridded data  geotiff format),Pawley  S., Hartman  G.M.D., Chao  D.K.,,,,,,,,
Digital Data 2016-0043,July 14  2017,Precambrian Basement Top Picks in Alberta (Elevation) (tabular data  tab-delimited format),Hauck  T.E., Corlett  H.,,,,,,,,,
Digital Data 2016-0042,February 23  2017,Permeability Measurements of Upper Cretaceous and Paleogene Bedrock Cores made from 2004-2015 (tabular data  tab-delimited format  to accompany Open File Report 2016-03),Smerdon  B.D., Hughes  A.T., Jean  G.,,,,,,,,
Digital Data 2016-0041,March 29  2017,Calgary-Lethbridge Corridor Water Chemistry Data for Total Dissolved Solids Mapping (tabular data  tab delimited format),Nakevska  N., Liggett  J.E.,,,,,,,,,
Digital Data 2016-0040,August 09  2016,Compilation of In Situ Stress Data from Alberta and Northeastern British Columbia (tabular data  tab delimited),Haug  K., Bell  J.S.,,,,,,,,,
Digital Data 2016-0039,June 10  2016,Bedrock Topography of Alberta (gridded data  ASCII format),MacCormack  K.E., Lyster  S., Atkinson  N.,,,,,,,,
Digital Data 2016-0038,June 10  2016,Pick Elevations for the Bedrock Topography of the Alberta Plains (tabular data  tab delimited format),Lyster  S., MacCormack  K.E., Atkinson  N.,,,,,,,,
Digital Data 2016-0037,March 17  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Sediment Thickness  Southwestern Alberta (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2016-0036,March 17  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Bedrock Topography  Southwestern Alberta (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2016-0035,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of Hydrostratigraphic Unit S1 Within the Neogene-Quaternary Succession  Southwestern Alberta (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2016-0034,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of Hydrostratigraphic Unit C Within the Neogene-Quaternary Succession  Southwestern Alberta (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2016-0033,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of Hydrostratigraphic Unit S2 Within the Neogene-Quaternary Succession  Southwestern Alberta (gridded data  ASCII format),Atkinson  L.A., Hartman  G.M.D.,,,,,,,,,
Digital Data 2016-0032,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Pakowki / Upper Lea Park Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0031,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Foremost Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0030,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Belly River Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0029,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Bearpaw Hydrostratigraphic Unit (Lower Tongue and Undifferentiated Portion)  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0028,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Horseshoe Canyon / St. Mary River Hydrostratigraphic Unit (Strathmore Member)  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0027,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Bearpaw Hydrostratigraphic Unit (Upper Tongue)  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0026,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Horseshoe Canyon / St. Mary River Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0025,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Battle Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0024,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Scollard / Willow Creek Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),MacCormack  K.E.,,,,,,,,,,
Digital Data 2016-0023,March 29  2017,Calgary-Lethbridge Corridor Hydrostratigraphic Model - Top of the Paskapoo / Porcupine Hills Hydrostratigraphic Unit  Southwestern Alberta (gridded data  ASCII format),Atkinson  L. A., MacCormack  K.E.,,,,,,,,,
Digital Data 2016-0022,March 28  2017,Calgary-Lethbridge Corridor Hydraulic Head Data for Potentiometric Surface Mapping (tabular data  tab-delimited format),Liggett  J.E., Nakevska  N.,,,,,,,,,
Digital Data 2016-0021,March 28  2017,Potentiometric Surface of the Paskapoo / Porcupine Hills Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor  Southwestern Alberta (gridded data  ASCII format),Liggett  J.E.,,,,,,,,,,
Digital Data 2016-0020,March 28  2017,Potentiometric Surface of the Horseshoe Canyon / St. Mary River Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor  Southwestern Alberta (gridded data  ASCII format),Liggett  J.E.,,,,,,,,,,
Digital Data 2016-0019,March 28  2017,Potentiometric Surface of the Scollard / Willow Creek Hydrostratigraphic Unit in the Calgary-Lethbridge Corridor  Southwestern Alberta (gridded data  ASCII format),Liggett  J.E.,,,,,,,,,,
Digital Data 2016-0018,May 20  2016,Surficial Geology of the Slims Creek Area (NTS 84F/SW) (GIS data  permafrost polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0017,May 20  2016,Surficial Geology of the Slims Creek Area (NTS 84F/SW) (GIS data  line features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0016,May 20  2016,Surficial Geology of the Slims Creek Area (NTS 84F/SW) (GIS data  polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0014,March 30  2016,Surficial Geology of the Calgary-Lethbridge Corridor (GIS data  line features),Hartman  G.M.D.,,,,,,,,,,
Digital Data 2016-0013,March 30  2016,Surficial Geology of the Calgary-Lethbridge Corridor (GIS data  polygon features),Hartman  G.M.D.,,,,,,,,,,
Digital Data 2016-0012,March 29  2016,Surficial Geology of the Carcajou Area (NTS 84F/NW) (GIS data  permafrost polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0011,March 29  2016,Surficial Geology of the Carcajou Area (NTS 84F/NW) (GIS data  line features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0010,March 29  2016,Surficial Geology of the Carcajou Area (NTS 84F/NW) (GIS data  polygon features),Utting  D.J., Pawley  S.M.,,,,,,,,,
Digital Data 2016-0009,June 10  2016,Mercury Porosimetry Data of Alberta Geological Units for Shale- and Siltstone-Hosted Hydrocarbon Evaluation (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0008,April 24  2017,Proximate Analysis Results for Samples of Alberta Geological Units Evaluated for their Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0007,April 24  2017,Bulk Rock Geochemistry Data from X-Ray Fluorescence Analysis of Samples from Alberta Stratigraphic Units Evaluated for their Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0006,April 24  2017,Clay Mineral X-Ray Diffraction Analysis Results of Outcrop Samples from Alberta Stratigraphic Units Evaluated for their Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0005,April 24  2017,Geochemical Mass Balance Results for Mineral Composition from X-Ray Diffraction Analysis of Samples from Alberta Stratigraphic Units Evaluated for their Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0004,April 24  2017,Qualitative Clay Mineral X-Ray Diffraction Analysis Results of Samples from Alberta Stratigraphic Units Evaluated for Their Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0003,April 24  2017,Bulk Mineralogy from X-Ray Diffraction Analysis of Alberta Stratigraphic Units Evaluated for Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0002,April 24  2017,Permeametry Analysis Results for Samples from Alberta Stratigraphic Units Evaluated for Shale- and Siltstone-Hosted Hydrocarbon Resource Potential (tabular data  tab delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2016-0001,July 13  2016,Inorganic Geochemistry of Alberta Geological Units for Shale- and Siltstone-Hosted Hydrocarbon Evaluation (tabular data  tab-delimited format),Rokosh  C.D., Crocq  C.S., Pawlowicz  J.G., Brazzoni  T.,,,,,,,
Digital Data 2015-0093,October 09  2015,Anthropogenic Footprints of the Cold Lake Oil Sands  Area from 2005 to 2013 Landsat Imagery (GIS data  polygon features),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0092,November 03  2015,Anthropogenic Footprints of the Play-Based Regulation Pilot Study Area from 2005 to 2013 Landsat Imagery (GIS data  polygon features),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0091,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2011 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0090,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2010 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0089,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2009 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0088,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2008 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0087,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2007 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0086,October 29  2015,Quality Evaluation Dataset of the Cold Lake Oil Sands Area Derived from 2006 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0085,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2012-2013 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0084,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2011-2012 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0083,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2010-2011 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0082,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2009-2010 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0081,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2008-2009 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0080,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2007-2008 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0079,October 29  2015,Annual Land Disturbance Classification Results in the Cold Lake Oil Sands Area Derived from 2006-2007 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0078,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2012-2013 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0077,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2011-2012 Landsat imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0076,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2010-2011 Landsat imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0075,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2009-2010 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0074,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2008-2009 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0073,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2007-2008 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0072,October 29  2015,Annual Vegetation Recovery Classification Results in the Cold Lake Oil Sands Area Derived from 2006-2007 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0071,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2013 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0070,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2012 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0069,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2011 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0068,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2010 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0067,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2009 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0066,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2008 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
Digital Data 2015-0065,October 29  2015,Land-use/Land-cover Classifications of the Cold Lake Oil Sands Area Derived from 2007 Landsat Imagery (Image data  Tiff format),Chao  D.K.,Chowdhury  S.,,,,,,,,,
